"RowIndex","Prediction"
1,-9.95302486537926
2,-22.1640765570519
3,14.5809946161695
4,19.1622021912692
5,-8.61524969676376
6,26.9465343458653
7,8.87865902618028
8,3.61901959716367
9,17.9341148887555
10,-2.57318287546596
11,-9.83981113278573
12,-11.9613467928847
13,-7.79374801336509
14,28.4749964299055
15,4.64634179915172
16,-13.3514117372734
17,5.97092391283403
18,-15.8386021860827
19,-10.1471371431531
20,-12.9358978025553
21,-17.0000082208479
22,-6.93591624176787
23,-6.69720064582964
24,23.75319007783
25,-5.20232365131611
26,1.53128976963939
27,-13.8745578193541
28,-10.23340652049
29,3.6988432666296
30,-13.9588030949066
31,8.14140261833406
32,11.838841643167
33,11.9278838930183
34,-10.0736837826833
35,-9.65397271244046
36,-11.5205507699223
37,9.74181629813682
38,14.8850458437888
39,-11.8461373397144
40,33.2926749352393
41,-17.0179821670551
42,12.0615124395787
43,-17.0179821670551
44,-16.5900758713607
45,7.91095533078569
46,-4.00710172474064
47,4.63344715030762
48,-16.983671259065
49,-14.9715877412082
50,-10.6613128161844
51,-6.26669211146553
52,12.3044842092005
53,23.1111734563702
54,-11.5857302729635
55,22.166993675459
56,-17.5730886704911
57,-8.61867505911292
58,25.4599069865026
59,-0.970378871675051
60,-11.2805020747817
61,9.46143464302604
62,-11.2098780291827
63,-10.23340652049
64,29.8779511015623
65,-1.36136393395208
66,17.6894503237753
67,21.9065502893145
68,-14.5107936702541
69,3.00686429884615
70,-11.8784290674959
71,28.4049684317848
72,30.4853424591955
73,30.733763692951
74,-7.40155880780141
75,-10.7819717334884
76,6.0066410029647
77,-8.93336762221374
78,-5.7021422088325
79,-10.23340652049
80,5.90874000965549
81,-17.4197192910907
82,-10.23340652049
83,26.0010270147905
84,-0.389159984523354
85,-5.05880295878501
86,-13.3334377910662
87,-15.0402931107412
88,7.71349632263971
89,-20.4181574168741
90,-14.5507848446614
